BirdID,Experiment,Trial,Correct,,,
RY-fPM,Colour reversal,4,N,,,
RY-fPM,Colour reversal,5,N,,,
RY-fPM,Colour reversal,6,Y,,,
RY-fPM,Colour reversal,7,N,,,
RY-fPM,Colour reversal,8,N,,,
RY-fPM,Colour reversal,9,N,,,
RY-fPM,Colour reversal,10,Y,,,
RY-fPM,Colour reversal,11,N,,,
RY-fPM,Colour reversal,12,N,,,
RY-fPM,Colour reversal,13,Y,,,
RY-fPM,Colour reversal,14,N,,,
RY-fPM,Colour reversal,15,Y,,,
RY-fPM,Colour reversal,16,N,,,
RY-fPM,Colour reversal,17,Y,,,
RY-fPM,Colour reversal,18,N,,,
RY-fPM,Colour reversal,19,N,,,
RY-fPM,Colour reversal,20,Y,,,
RY-fPM,Colour reversal,21,N,,,
RY-fPM,Colour reversal,22,Y,,,
RY-fPM,Colour reversal,23,Y,,,
RY-fPM,Colour reversal,24,N,,,
RY-fPM,Colour reversal,25,N,,,
RY-fPM,Colour reversal,26,N,,,
RY-fPM,Colour reversal,27,Y,,,
RY-fPM,Colour reversal,28,N,,,
RY-fPM,Colour reversal,29,Y,,,
RY-fPM,Colour reversal,30,N,,,
RY-fPM,Colour reversal,31,Y,,,
RY-fPM,Colour reversal,32,Y,,,
RY-fPM,Colour reversal,33,N,,,
RY-fPM,Colour reversal,34,N,,,
RY-fPM,Colour reversal,35,Y,,,
RY-fPM,Colour reversal,36,N,,,
RY-fPM,Colour reversal,37,N,,,
RY-fPM,Colour reversal,38,N,,,
RY-fPM,Colour reversal,39,Y,,,
RY-fPM,Colour reversal,40,Y,,,
RY-fPM,Colour reversal,41,N,,,
RY-fPM,Colour reversal,42,N,,,
RY-fPM,Colour reversal,43,Y,,,
RY-fPM,Colour reversal,44,N,,,
RY-fPM,Colour reversal,45,Y,,,
RY-fPM,Colour reversal,46,N,,,
RY-fPM,Colour reversal,47,Y,,,
RY-fPM,Colour reversal,48,N,,,
RY-fPM,Colour reversal,49,N,,,
RY-fPM,Colour reversal,50,N,,,
RY-fPM,Colour reversal,51,N,,,
RY-fPM,Colour reversal,52,Y,,,
RY-fPM,Colour reversal,53,Y,,,
RY-fPM,Colour reversal,54,Y,,,
RY-fPM,Colour reversal,55,Y,,,
RY-fPM,Colour reversal,56,N,,,
RY-fPM,Colour reversal,57,N,,,
RY-fPM,Colour reversal,58,Y,,,
RY-fPM,Colour reversal,59,Y,,,
RY-fPM,Colour reversal,60,N,,,
RY-fPM,Colour reversal,61,Y,,,
RY-fPM,Colour reversal,62,Y,,,
RY-fPM,Colour reversal,63,Y,,,
RY-fPM,Colour reversal,64,N,,,
RY-fPM,Colour reversal,65,N,,,
RY-fPM,Colour reversal,66,N,,,
RY-fPM,Colour reversal,67,N,,,
RY-fPM,Colour reversal,68,N,,,
RY-fPM,Colour reversal,69,N,,,
RY-fPM,Colour reversal,70,N,,,
RY-fPM,Colour reversal,71,N,,,
RY-fPM,Colour reversal,72,Y,,,
RY-fPM,Colour reversal,73,Y,,,
RY-fPM,Colour reversal,74,Y,,,
RY-fPM,Colour reversal,75,Y,,,
RY-fPM,Colour reversal,76,N,,,
